topic,question,answer,source_title,source_url
Food safety,What are the four basic steps for food safety?,"Clean, Separate, Cook, and Chill.","USDA FSIS: Safe Minimum Internal Temperature Chart",https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/safe-temperature-chart
Food safety,How long should you wash your hands before and after handling raw ground beef?,"Wash your hands with soap and water for 20 seconds.","USDA FSIS: Ground Beef and Food Safety",https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/meat/ground-beef-and-food-safety
Food safety,Why should raw meat be kept separate from ready-to-eat food?,"Raw meat and its juices can spread illness-causing bacteria to food that will not be cooked.","USDA FSIS: Ground Beef and Food Safety",https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/meat/ground-beef-and-food-safety
Food safety,What temperature should a refrigerator be set to?,"Set a refrigerator to 40 degrees Fahrenheit (4 degrees Celsius) or below.","FDA: Food-Safe Shopping and Storage Tips",https://www.fda.gov/files/food/published/Food-Safe-Shopping---Storage-Tips_Download.pdf
Food safety,What temperature should a freezer be set to?,"Set a freezer to 0 degrees Fahrenheit (-18 degrees Celsius) or below.","FDA: Food-Safe Shopping and Storage Tips",https://www.fda.gov/files/food/published/Food-Safe-Shopping---Storage-Tips_Download.pdf
Food safety,How long can perishable food stay at room temperature?,"Discard perishable food left at room temperature for more than 2 hours.","FDA: Cooking—Food Safety for Moms to Be",https://www.fda.gov/food/people-risk-foodborne-illness/cooking-food-safety-moms-be
Food safety,How long can perishable food stay out when the air temperature is above 90 degrees Fahrenheit?,"Discard it after 1 hour when the air temperature is above 90 degrees Fahrenheit (32 degrees Celsius).","FDA: Cooking—Food Safety for Moms to Be",https://www.fda.gov/food/people-risk-foodborne-illness/cooking-food-safety-moms-be
Food safety,What is the food safety danger zone?,"The danger zone is generally 40 to 140 degrees Fahrenheit (4 to 60 degrees Celsius), where bacteria can grow quickly.","FDA: Cooking—Food Safety for Moms to Be",https://www.fda.gov/food/people-risk-foodborne-illness/cooking-food-safety-moms-be
Cooking temperature,What safe internal temperature should poultry reach?,"Poultry should reach 165 degrees Fahrenheit (73.9 degrees Celsius).","USDA FSIS: Safe Minimum Internal Temperature Chart",https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/safe-temperature-chart
Cooking temperature,What safe internal temperature should ground beef reach?,"Ground beef should reach 160 degrees Fahrenheit (71.1 degrees Celsius).","USDA FSIS: Safe Minimum Internal Temperature Chart",https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/safe-temperature-chart
Cooking temperature,What safe internal temperature should fish reach?,"Fish should reach 145 degrees Fahrenheit (62.8 degrees Celsius).","USDA FSIS: Safe Minimum Internal Temperature Chart",https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/safe-temperature-chart
Cooking temperature,What safe internal temperature should leftovers reach when reheated?,"Leftovers should reach 165 degrees Fahrenheit (73.9 degrees Celsius).","USDA FSIS: Safe Minimum Internal Temperature Chart",https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/safe-temperature-chart
Cooking temperature,What safe internal temperature should beef steaks reach?,"Beef steaks should reach 145 degrees Fahrenheit (62.8 degrees Celsius), followed by at least a 3-minute rest.","USDA FSIS: Safe Minimum Internal Temperature Chart",https://www.fsis.usda.gov/food-safety/safe-food-handling-and-preparation/food-safety-basics/safe-temperature-chart
Food groups,Which foods are included in the Protein Foods Group?,"The group includes seafood; meat, poultry, and eggs; beans, peas, and lentils; nuts and seeds; and soy products.","USDA MyPlate: Protein Foods",https://www.myplate.gov/web/web/eat-healthy/protein-foods
Food groups,Can beans peas and lentils count as protein foods?,"Yes. Beans, peas, and lentils are included in the Protein Foods Group and are also part of the Vegetable Group.","USDA MyPlate: Protein Foods",https://www.myplate.gov/web/web/eat-healthy/protein-foods
Food groups,What are vegetarian choices in the Protein Foods Group?,"Examples include beans, peas, lentils, nuts, seeds, soy products, and eggs for people who eat eggs.","USDA MyPlate: Protein Foods",https://www.myplate.gov/web/web/eat-healthy/protein-foods
Food groups,What foods can count as vegetables?,"Vegetables and 100% vegetable juice can count. They may be raw or cooked and fresh, frozen, canned, or dried.","USDA MyPlate: Vegetables",https://www.myplate.gov/web/web/eat-healthy/vegetables
Food groups,What are the five vegetable subgroups?,"The five subgroups are dark green; red and orange; beans, peas, and lentils; starchy; and other vegetables.","USDA MyPlate: Vegetables",https://www.myplate.gov/web/web/eat-healthy/vegetables
Food groups,What foods are included in the Dairy Group?,"The Dairy Group includes milk, yogurt, cheese, lactose-free milk, and fortified soy milk and yogurt.","USDA MyPlate: Dairy",https://www.myplate.gov/web/eat-healthy/dairy
Food groups,Why are butter and cream cheese not in the Dairy Group?,"MyPlate excludes foods made from milk that contain little calcium and have a high fat content, such as butter and cream cheese.","USDA MyPlate: Dairy",https://www.myplate.gov/web/eat-healthy/dairy
Nutrients,What does vitamin C help the body do?,"Vitamin C acts as an antioxidant, helps make collagen for wound healing, improves absorption of iron from plant foods, and supports normal immune function.","NIH ODS: Vitamin C Fact Sheet for Consumers",https://ods.od.nih.gov/factsheets/VitaminC-Consumer/
Nutrients,Which foods provide vitamin C?,"Examples include citrus fruits, red and green peppers, kiwifruit, broccoli, strawberries, cantaloupe, baked potatoes, and tomatoes.","NIH ODS: Vitamin C Fact Sheet for Consumers",https://ods.od.nih.gov/factsheets/VitaminC-Consumer/
Nutrients,What does calcium help the body do?,"Calcium helps build and maintain bones and teeth, helps muscles move, helps nerves carry messages, and supports other body functions.","NIH ODS: Calcium Fact Sheet for Consumers",https://ods.od.nih.gov/factsheets/Calcium-Consumer/
Nutrients,Which foods provide calcium?,"Milk, yogurt, and cheese are major sources. Other sources include canned sardines or salmon with bones, kale, broccoli, bok choy, and some calcium-fortified foods.","NIH ODS: Calcium Fact Sheet for Consumers",https://ods.od.nih.gov/factsheets/Calcium-Consumer/
Nutrients,What does vitamin D do for calcium?,"Vitamin D helps the body absorb calcium.","NIH ODS: Calcium Fact Sheet for Consumers",https://ods.od.nih.gov/factsheets/Calcium-Consumer/
Nutrients,How can vitamin C affect iron from plant foods?,"Vitamin C helps the body absorb iron from plant-based foods more easily.","NIH ODS: Vitamin C Fact Sheet for Consumers",https://ods.od.nih.gov/factsheets/VitaminC-Consumer/
